"Name","Team","IP","FA-Z","FC-Z","FS-Z","SI-Z","CH-Z","SL-Z","CU-Z","CS-Z","KN-Z","SB-Z","playerid"
"Nick Pivetta","BOS","179.2","10.9","","3.8","","","1.1","-11.9","","","","15454"
"Triston McKenzie","CLE","191.1","10.9","","","","","4.9","-5.5","","","","18000"
"Jose Urquidy","HOU","164.1","10.4","2.4","","","6.6","-0.7","-9.9","","","","18413"
"Justin Verlander","HOU","175.0","10.1","","","","4.9","1.8","-7.6","","","","8700"
"Dylan Cease","CHW","184.0","10.1","","7.5","","","-0.4","-11.0","","","","18525"
"Gerrit Cole","NYY","200.2","9.8","4.1","","","4.6","-0.4","-8.5","","","","13125"
"Carlos Rodon","SFG","178.0","9.7","","","","5.3","-1.3","-8.1","","","","16137"
"Tyler Anderson","LAD","178.2","9.6","4.9","","3.2","4.2","","-5.5","","","","12880"
"Robbie Ray","SEA","189.0","9.5","","","6.5","6.7","3.5","-1.2","","","","11486"
"Logan Gilbert","SEA","185.2","9.4","","","6.3","4.0","1.6","-5.6","","","","22250"
"Zac Gallen","ARI","184.0","9.4","3.6","","7.6","1.6","0.9","-7.9","","","","19291"
"Jameson Taillon","NYY","177.1","9.4","6.4","","7.5","5.3","1.4","-6.8","","","","11674"
"Shane Bieber","CLE","200.0","9.3","4.4","","","3.1","0.8","-7.1","","","","19427"
"Shane McClanahan","TBR","166.1","9.2","","","","4.9","1.2","-7.4","","","","21483"
"Yu Darvish","SDP","194.2","9.1","5.0","1.9","5.8","2.9","-1.0","-8.2","-9.7","","","13074"
"Kevin Gausman","TOR","174.2","9.0","","1.6","","6.1","0.7","","","","","14107"
"Jordan Lyles","BAL","179.0","9.0","","","6.1","3.6","-1.4","-9.4","","","","7593"
"Julio Urias","LAD","175.0","8.9","","","","3.3","","-1.2","","","","14765"
"Alek Manoah","TOR","196.2","8.8","","","5.1","4.5","-0.8","","","","","26410"
"Cal Quantrill","CLE","186.1","8.7","3.1","","7.3","3.3","","-2.8","","","","19312"
"Cole Irvin","OAK","181.0","8.5","4.0","","6.1","3.1","-2.4","-5.3","","","","19244"
"Kyle Gibson","PHI","167.2","8.4","4.7","","3.3","1.2","-1.3","-6.0","","","","10123"
"Marco Gonzales","SEA","183.0","8.3","5.6","","5.5","2.8","","-8.6","","","","15467"
"Corbin Burnes","MIL","202.0","8.3","5.8","","6.3","3.3","-0.9","-4.7","","","","19361"
"Jose Quintana","- - -","165.2","8.2","5.7","","6.9","2.8","","-4.6","","","","11423"
"Merrill Kelly","ARI","200.1","8.1","6.6","","3.6","0.6","1.3","-6.7","","","","11156"
"Aaron Nola","PHI","205.0","8.1","3.2","","4.8","1.2","","-7.2","","","","16149"
"Adam Wainwright","STL","191.2","8.1","2.8","","6.2","3.8","-2.6","-9.8","","","","2233"
"Martin Perez","TEX","196.1","8.0","6.1","","5.0","4.2","2.0","-3.7","","","","6902"
"Miles Mikolas","STL","202.1","7.9","","","6.3","4.3","1.8","-9.9","-8.8","","","9803"
"Jordan Montgomery","- - -","178.1","7.9","4.5","","5.0","5.9","","-3.8","","","","16511"
"Shohei Ohtani","LAA","166.0","7.5","2.4","0.5","2.8","1.5","1.6","-8.7","","","","19755"
"Corey Kluber","TBR","164.0","7.5","3.9","","4.0","2.4","-0.5","","","","","2429"
"Jose Berrios","TOR","172.0","7.4","","","5.1","1.5","-3.5","","","","","14168"
"Sandy Alcantara","MIA","228.2","7.3","","","3.7","1.5","1.2","-2.9","","","","18684"
"Kyle Freeland","COL","174.2","7.3","2.1","","3.1","3.7","-4.4","","","","","16256"
"Chris Bassitt","NYM","181.2","7.3","4.3","","4.6","3.0","-0.4","-9.3","","","","12304"
"German Marquez","COL","181.2","7.3","","","4.7","4.1","2.2","-1.5","","","","15038"
"Joe Musgrove","SDP","181.0","7.0","4.4","","4.2","1.4","-2.0","-8.9","","","","12970"
"Pablo Lopez","MIA","180.0","6.9","2.7","","2.7","1.1","","-6.6","","","","17085"
"Kyle Wright","ATL","180.1","6.6","","","2.1","-0.5","3.9","-5.6","","","","19665"
"Charlie Morton","ATL","172.0","6.5","","","2.3","0.1","2.3","-6.4","","","","4676"
"Max Fried","ATL","185.1","6.4","","","4.8","1.5","-0.3","-10.9","","","","13743"
"Framber Valdez","HOU","201.1","4.9","","","3.1","0.2","-4.1","-10.5","","","","17295"
"Logan Webb","SFG","192.1","4.8","4.3","","-2.0","-3.9","-0.4","","","","","17995"
