"Name","Team","IP","vFA","vFC","vFS","vSI","vCH","vSL","vCU","vCS","vKN","vSB","playerid"
"Sandy Alcantara","MIA","228.2","98.0","","","97.8","91.7","89.9","84.1","","","","18684"
"Gerrit Cole","NYY","200.2","97.8","92.3","","","89.7","88.7","82.9","","","","13125"
"Shohei Ohtani","LAA","166.0","97.4","90.5","89.3","97.2","91.9","85.3","77.9","","","","19755"
"Shane McClanahan","TBR","166.1","97.0","","","","87.9","89.6","82.3","","","","21483"
"Dylan Cease","CHW","184.0","96.9","","78.0","","","87.5","81.3","","","","18525"
"Corbin Burnes","MIL","202.0","96.2","95.1","","96.3","90.3","88.2","81.7","","","","19361"
"Logan Gilbert","SEA","185.2","96.1","","","94.8","86.2","86.8","80.8","","","","22250"
"German Marquez","COL","181.2","95.7","","","95.1","87.7","87.8","86.5","","","","15038"
"Carlos Rodon","SFG","178.0","95.5","","","","84.4","85.3","79.7","","","","16137"
"Justin Verlander","HOU","175.0","95.1","","","","86.3","87.5","79.1","","","","8700"
"Kyle Wright","ATL","180.1","95.1","","","94.3","88.0","90.0","84.7","","","","19665"
"Yu Darvish","SDP","194.2","95.0","90.3","89.3","94.6","87.7","84.8","76.7","69.8","","","13074"
"Kevin Gausman","TOR","174.2","94.9","","85.2","","85.4","84.3","","","","","14107"
"Charlie Morton","ATL","172.0","94.9","","","94.6","87.1","88.3","81.2","","","","4676"
"Jameson Taillon","NYY","177.1","94.1","90.7","","94.1","87.7","86.1","81.0","","","","11674"
"Framber Valdez","HOU","201.1","94.0","","","93.9","88.6","83.0","79.1","","","","17295"
"Jose Berrios","TOR","172.0","94.0","","","93.8","84.6","82.9","","","","","14168"
"Max Fried","ATL","185.1","94.0","","","93.5","86.5","87.2","74.2","","","","13743"
"Zac Gallen","ARI","184.0","93.9","89.9","","94.6","86.0","87.9","81.4","","","","19291"
"Cal Quantrill","CLE","186.1","93.9","88.6","","93.7","85.5","","82.8","","","","19312"
"Alek Manoah","TOR","196.2","93.9","","","93.2","86.4","81.5","","","","","26410"
"Nick Pivetta","BOS","179.2","93.6","","87.2","","","85.9","77.3","","","","15454"
"Jose Urquidy","HOU","164.1","93.6","87.5","","","86.1","80.1","78.2","","","","18413"
"Robbie Ray","SEA","189.0","93.6","","","93.3","87.1","87.3","79.8","","","","11486"
"Miles Mikolas","STL","202.1","93.6","","","93.0","82.7","87.7","76.2","65.3","","","9803"
"Pablo Lopez","MIA","180.0","93.5","88.8","","93.4","87.5","","81.0","","","","17085"
"Chris Bassitt","NYM","181.2","93.3","89.2","","92.8","85.3","78.9","71.6","","","","12304"
"Julio Urias","LAD","175.0","93.1","","","","86.2","","80.9","","","","14765"
"Jordan Montgomery","- - -","178.1","93.1","87.8","","93.0","82.3","","80.2","","","","16511"
"Aaron Nola","PHI","205.0","92.9","87.0","","92.3","86.1","","78.7","","","","16149"
"Martin Perez","TEX","196.1","92.9","89.9","","92.7","84.4","84.3","78.9","","","","6902"
"Joe Musgrove","SDP","181.0","92.9","90.0","","92.2","86.4","82.8","81.3","","","","12970"
"Triston McKenzie","CLE","191.1","92.7","","","","","87.4","79.5","","","","18000"
"Logan Webb","SFG","192.1","92.4","90.1","","91.7","86.3","82.4","","","","","17995"
"Merrill Kelly","ARI","200.1","92.4","90.7","","92.2","88.3","84.7","81.9","","","","11156"
"Kyle Gibson","PHI","167.2","92.3","89.6","","91.9","84.8","83.5","79.2","","","","10123"
"Jordan Lyles","BAL","179.0","91.9","","","90.8","86.5","80.7","79.3","","","","7593"
"Shane Bieber","CLE","200.0","91.5","87.1","","","86.6","85.4","82.3","","","","19427"
"Jose Quintana","- - -","165.2","91.3","89.6","","91.5","86.5","","78.5","","","","11423"
"Cole Irvin","OAK","181.0","90.9","87.7","","90.3","83.1","78.8","75.4","","","","19244"
"Tyler Anderson","LAD","178.2","90.7","85.7","","89.1","79.0","","73.3","","","","12880"
"Kyle Freeland","COL","174.2","90.4","85.6","","89.8","85.0","81.1","","","","","16256"
"Corey Kluber","TBR","164.0","89.1","86.5","","89.1","83.2","81.0","","","","","2429"
"Marco Gonzales","SEA","183.0","88.7","86.1","","88.0","79.4","","76.6","","","","15467"
"Adam Wainwright","STL","191.2","88.1","84.4","","88.7","82.2","77.9","72.8","","","","2233"
